Dataset,Model,Training_Fraction,Event_Detection_AUC,Phase_Identification_AUC,P_Onset_RMSE_sec,S_Onset_RMSE_sec
ETHZ,PhaseNet,10%,0.980807,0.993507,0.448635,0.671606
ETHZ,SeisLM_base,10%,0.987240,0.996776,0.404662,0.569034
ETHZ,SeisLM_large,10%,0.988150,0.997924,0.367818,0.478071
ETHZ,mLSTM_CR,10%,0.991014,0.997297,0.335637,0.480318
ETHZ,mLSTM_Sequential,10%,0.988429,0.994974,0.415427,0.501812
ETHZ,PhaseNet,100%,0.990907,0.998463,0.265632,0.437144
ETHZ,SeisLM_base,100%,0.991936,0.998637,0.272392,0.444539
ETHZ,SeisLM_large,100%,0.991656,0.998918,0.263531,0.408399
ETHZ,mLSTM_CR,100%,0.993029,0.998459,0.252285,0.402183
ETHZ,mLSTM_Sequential,100%,0.991697,0.997477,0.283701,0.473819
ETHZ,PhaseNet,20%,0.985110,0.997156,0.414044,0.506970
ETHZ,SeisLM_base,20%,0.990456,0.998143,0.304283,0.505041
ETHZ,SeisLM_large,20%,0.991211,0.998608,0.323791,0.465213
ETHZ,mLSTM_CR,20%,0.990790,0.998273,0.302324,0.455175
ETHZ,mLSTM_Sequential,20%,0.990047,0.993839,0.367526,0.496713
ETHZ,PhaseNet,5%,0.973642,0.987739,0.689750,1.094743
ETHZ,SeisLM_base,5%,0.985059,0.991672,0.498632,0.764178
ETHZ,SeisLM_large,5%,0.984744,0.995193,0.487496,0.755897
ETHZ,mLSTM_CR,5%,0.988765,0.995828,0.477208,0.883913
ETHZ,mLSTM_Sequential,5%,0.987257,0.990575,0.534759,0.705981
ETHZ,PhaseNet,50%,0.989841,0.998036,0.270336,0.490454
ETHZ,SeisLM_base,50%,0.991267,0.998520,0.285755,0.412336
ETHZ,SeisLM_large,50%,0.991838,0.998806,0.248490,0.440486
ETHZ,mLSTM_CR,50%,0.991954,0.998168,0.254531,0.455654
ETHZ,mLSTM_Sequential,50%,0.991402,0.994867,0.346968,0.535278
GEOFON,PhaseNet,10%,0.945024,0.733380,1.161895,2.412346
GEOFON,SeisLM_base,10%,0.958531,0.869493,1.238128,2.343160
GEOFON,SeisLM_large,10%,0.961834,0.943880,1.192203,1.756747
GEOFON,mLSTM_CR,10%,0.966487,0.869468,1.002639,1.883027
GEOFON,mLSTM_Sequential,10%,0.967940,0.869161,1.014258,1.748717
GEOFON,PhaseNet,100%,0.966401,0.989057,0.922424,1.389928
GEOFON,SeisLM_base,100%,0.972636,0.998530,0.903945,1.154562
GEOFON,SeisLM_large,100%,0.971090,0.998553,0.931218,1.084812
GEOFON,mLSTM_CR,100%,0.976484,0.998498,0.817993,1.126903
GEOFON,mLSTM_Sequential,100%,0.975810,0.998256,0.852995,1.085619
GEOFON,PhaseNet,20%,0.952408,0.798840,1.082260,1.889584
GEOFON,SeisLM_base,20%,0.951515,0.970909,1.145290,1.433082
GEOFON,SeisLM_large,20%,0.965626,0.983360,1.118128,1.307488
GEOFON,mLSTM_CR,20%,0.972329,0.971711,0.943030,1.594153
GEOFON,mLSTM_Sequential,20%,0.963304,0.987473,0.979310,1.650648
GEOFON,PhaseNet,5%,0.931201,0.821948,1.319942,3.118845
GEOFON,SeisLM_base,5%,0.947205,0.801103,1.382989,2.178680
GEOFON,SeisLM_large,5%,0.944246,0.920414,1.342528,1.813255
GEOFON,mLSTM_CR,5%,0.963376,0.742451,1.059557,2.330880
GEOFON,mLSTM_Sequential,5%,0.953172,0.812802,1.112086,1.794481
GEOFON,PhaseNet,50%,0.958452,0.972900,0.963278,1.687113
GEOFON,SeisLM_base,50%,0.967578,0.994909,0.998934,1.331568
GEOFON,SeisLM_large,50%,0.960864,0.994374,1.005277,1.165661
GEOFON,mLSTM_CR,50%,0.979869,0.990322,0.865633,1.421494
GEOFON,mLSTM_Sequential,50%,0.971460,0.994679,0.902507,1.298348
STEAD,PhaseNet,10%,0.997883,0.999894,0.321355,0.289579
STEAD,SeisLM_base,10%,0.999437,0.999996,0.224485,0.248571
STEAD,SeisLM_large,10%,0.999437,0.999996,0.224485,0.248571
STEAD,mLSTM_CR,10%,0.999812,0.999988,0.213492,0.240465
STEAD,PhaseNet,100%,0.999366,0.999947,0.555281,0.229181
STEAD,SeisLM_base,100%,0.999756,0.999993,0.179878,0.208943
STEAD,SeisLM_large,100%,0.999756,0.999993,0.179878,0.208943
STEAD,mLSTM_CR,100%,0.999882,0.999998,0.182371,0.208388
STEAD,PhaseNet,20%,0.999088,0.999924,0.306387,0.269158
STEAD,SeisLM_base,20%,0.999728,0.999990,0.195198,0.228336
STEAD,SeisLM_large,20%,0.999728,0.999990,0.195198,0.228336
STEAD,mLSTM_CR,20%,0.999833,0.999993,0.194234,0.218293
STEAD,PhaseNet,5%,0.979321,0.998091,0.878959,0.484150
STEAD,SeisLM_base,5%,0.999504,0.999989,0.264074,0.260764
STEAD,SeisLM_large,5%,0.999504,0.999989,0.264074,0.260764
STEAD,mLSTM_CR,5%,0.999769,0.999977,0.246266,0.264463
STEAD,PhaseNet,50%,0.999141,0.999946,0.254032,0.248035
STEAD,SeisLM_base,50%,0.999754,0.999996,0.184135,0.212084
STEAD,SeisLM_large,50%,0.999754,0.999996,0.184135,0.212084
STEAD,mLSTM_CR,50%,0.999866,0.999992,0.173477,0.212476
