variant,fraction,dataset,split,det_auc,phase_auc,p_rmse,s_rmse,found,run,fraction_order
mLSTM_Sequential,0.05,ETHZ,test,0.987256877856938,0.9905754839539896,0.5347592620926153,0.7059806171134185,True,REDACTED_PATH,0.05
mLSTM_Sequential,0.10,ETHZ,test,0.9884293182644599,0.9949738568477503,0.4154271623895986,0.5018120829712689,True,REDACTED_PATH,0.1
mLSTM_Sequential,0.20,ETHZ,test,0.9900474756839766,0.9938389254566619,0.36752585567664564,0.4967130953253736,True,REDACTED_PATH,0.2
mLSTM_Sequential,0.50,ETHZ,test,0.9914023371489893,0.9948670283984125,0.3469679659132419,0.5352784202287347,True,REDACTED_PATH,0.5
mLSTM_Sequential,1.00,ETHZ,test,0.9916971698561584,0.997477233597038,0.28370051152146925,0.4738192568862357,True,REDACTED_PATH,1.0
mlstm_cr,0.05,ETHZ,test,0.9887651160035376,0.9958275173774331,0.47720807505472645,0.8839133384446723,True,REDACTED_PATH,0.05
mlstm_cr,0.10,ETHZ,test,0.9910144632896327,0.997296618086585,0.3356370293569313,0.48031769924165596,True,REDACTED_PATH,0.1
mlstm_cr,0.20,ETHZ,test,0.9907902448919352,0.9982726768124466,0.30232374371995174,0.4551745117043347,True,REDACTED_PATH,0.2
mlstm_cr,0.50,ETHZ,test,0.9904402979117931,0.9984726336233227,0.2853979948455389,0.4544788733781751,True,REDACTED_PATH,0.5
mlstm_cr,1.00,ETHZ,test,0.9930286038892449,0.9984588529467713,0.252285171316298,0.4021825961799955,True,REDACTED_PATH,1.0
mlstm_cr_geofon,0.05,ETHZ,test,,,,,False,REDACTED_PATH,0.05
mlstm_cr_geofon,0.10,ETHZ,test,,,,,False,REDACTED_PATH,0.1
mlstm_cr_geofon,0.20,ETHZ,test,,,,,False,REDACTED_PATH,0.2
mlstm_cr_geofon,0.50,ETHZ,test,,,,,False,REDACTED_PATH,0.5
mlstm_cr_geofon,1.00,ETHZ,test,,,,,False,REDACTED_PATH,1.0
